PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
Chelsea Gray,15,5-13,1-3,1-1,7,0,7,6,1,1,3,4,12
Brittney Sykes,5,1-5,0-0,0-0,0,0,0,1,1,0,0,1,2
Lexie Hull,10,8-11,1-2,1-1,3,2,1,3,0,0,0,4,19
Azurá Stevens,10,5-10,2-4,2-2,7,1,6,3,0,0,1,1,16
TEAM,,28-61,6-14,5-5,31,6,25,14,4,1,8,17,71
,,45.9%,42.9%,100.0%,,,,,,,,,
Skylar Diggins-Smith,11,4-11,0-3,4-5,3,2,1,2,1,0,1,3,16
Allisha Gray,14,6-18,5-12,2-2,5,1,4,5,1,0,0,4,21
Napheesa Collier,18,13-17,5-7,3-3,18,2,16,5,3,1,2,3,37
Courtney Williams,8,3-8,0-1,0-0,4,0,4,4,0,0,0,4,6
Shakira Austin,7,1-5,0-0,0-0,2,0,2,0,0,1,0,2,2
Cameron Brink,DNP,,,,,,,,,,,,
TEAM,,27-59,10-23,9-10,39,6,33,16,5,2,3,16,82
,,45.8%,43.5%,90.0%,,,,,,,,,
Natasha Cloud,10,1-8,0-4,1-1,7,2,5,6,0,0,1,2,4
Satou Sabally,16,9-21,1-7,0-1,9,1,8,4,1,0,5,2,19
Katie Lou Samuelson,9,3-6,1-3,0-2,4,1,3,0,0,0,1,3,7
Natisha Hiedeman,11,7-13,2-5,2-2,3,0,3,1,0,1,2,3,18
Brittney Griner,12,5-12,0-1,0-0,5,0,5,1,0,1,0,1,10
Marina Mabrey,DNP,,,,,,,,,,,,
Sabrina Ionescu,DNP,,,,,,,,,,,,
TEAM,,25-60,4-20,3-6,32,5,27,12,1,2,9,11,58
,,41.7%,20.0%,50.0%,,,,,,,,,
Rhyne Howard,13,2-10,1-4,1-1,4,2,2,1,0,1,1,6,7
Arike Ogunbowale,15,5-18,2-6,0-0,10,1,9,7,1,0,0,2,12
Aliyah Boston,13,6-13,0-0,1-1,9,3,6,1,0,0,1,3,14
Jordin Canada,11,5-11,2-5,1-1,4,1,3,1,0,0,0,0,14
Rae Burrell,7,4-13,2-5,0-0,6,3,3,0,1,0,1,1,10
Dearica Hamby,DNP,,,,,,,,,,,,
TEAM,,22-65,7-20,3-3,37,11,26,10,2,1,3,12,57
,,33.8%,35.0%,100.0%,,,,,,,,,
Skylar Diggins-Smith,12,5-12,2-3,2-2,3,1,2,4,1,0,0,1,16
Allisha Gray,15,8-14,1-3,1-1,5,1,4,3,0,0,1,1,19
Napheesa Collier,18,8-16,0-2,2-2,17,1,16,2,0,3,2,4,19
Courtney Williams,8,3-11,0-0,0-0,6,1,5,4,1,0,1,1,6
Shakira Austin,6,2-6,0-1,2-2,4,1,3,1,0,1,0,2,7
Cameron Brink,DNP,,,,,,,,,,,,
TEAM,,26-59,3-9,7-7,39,7,32,14,2,4,4,9,67
,,44.1%,33.3%,100.0%,,,,,,,,,
Angel Reese,14,3-5,1-2,5-6,7,3,4,2,2,0,4,6,17
Kahleah Copper,14,3-12,0-3,1-1,5,1,4,0,0,0,1,5,8
Chelsea Gray,14,3-14,1-5,1-1,6,0,6,5,2,0,1,3,9
Brittney Sykes,12,6-11,2-5,2-3,5,2,3,1,1,0,1,2,18
Lexie Hull,9,2-8,1-5,1-1,0,0,0,2,0,0,1,3,7
Azurá Stevens,6,2-10,1-6,0-0,6,0,6,0,0,0,0,2,5
TEAM,,19-60,6-26,10-12,36,7,29,10,5,0,8,21,64
,,31.7%,23.1%,83.3%,,,,,,,,,
Stefanie Dolson,14,2-2,1-1,2-2,6,2,4,4,0,2,2,6,9
Kayla McBride,19,8-18,4-10,5-5,9,0,9,3,0,0,1,1,31
Tiffany Hayes,18,8-24,1-8,4-6,11,2,9,3,1,0,5,5,24
Kate Martin,15,3-8,1-5,0-1,6,2,4,0,0,0,2,4,7
Natisha Hiedeman,2,0-1,0-0,0-0,0,0,0,0,0,0,1,1,0
Alyssa Thomas,DNP,,,,,,,,,,,,
Jackie Young,DNP,,,,,,,,,,,,
TEAM,,21-53,7-24,11-14,40,6,34,10,1,2,11,17,71
,,39.6%,29.2%,78.6%,,,,,,,,,
